REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,LNDAGRBC1C04,SEA1N,2045,1
REGION1,LNDAGRBC1C04,SEA2D,2045,1
REGION1,LNDAGRBC1C04,SEA2N,2045,1
REGION1,LNDAGRBC1C04,SEA3D,2045,1
REGION1,LNDAGRBC1C04,SEA3N,2045,1
REGION1,LNDAGRBC1C04,SEA4D,2045,1
REGION1,LNDAGRBC1C04,SEA4N,2045,1
REGION1,LNDAGRBC1C04,SEA1D,2046,1
REGION1,LNDAGRBC1C04,SEA1N,2046,1
REGION1,LNDAGRBC1C04,SEA2D,2046,1
REGION1,LNDAGRBC1C04,SEA2N,2046,1
REGION1,LNDAGRBC1C04,SEA3D,2046,1
REGION1,LNDAGRBC1C04,SEA3N,2046,1
REGION1,LNDAGRBC1C04,SEA4D,2046,1
REGION1,LNDAGRBC1C04,SEA4N,2046,1
REGION1,LNDAGRBC1C04,SEA1D,2047,1
REGION1,LNDAGRBC1C04,SEA1N,2047,1
REGION1,LNDAGRBC1C04,SEA2D,2047,1
REGION1,LNDAGRBC1C04,SEA2N,2047,1
REGION1,LNDAGRBC1C04,SEA3D,2047,1
REGION1,LNDAGRBC1C04,SEA3N,2047,1
REGION1,LNDAGRBC1C04,SEA4D,2047,1
REGION1,LNDAGRBC1C04,SEA4N,2047,1
REGION1,LNDAGRBC1C04,SEA1D,2048,1
REGION1,LNDAGRBC1C04,SEA1N,2048,1
REGION1,LNDAGRBC1C04,SEA2D,2048,1
REGION1,LNDAGRBC1C04,SEA2N,2048,1
REGION1,LNDAGRBC1C04,SEA3D,2048,1
REGION1,LNDAGRBC1C04,SEA3N,2048,1
REGION1,LNDAGRBC1C04,SEA4D,2048,1
REGION1,LNDAGRBC1C04,SEA4N,2048,1
REGION1,LNDAGRBC1C04,SEA1D,2049,1
REGION1,LNDAGRBC1C04,SEA1N,2049,1
REGION1,LNDAGRBC1C04,SEA2D,2049,1
REGION1,LNDAGRBC1C04,SEA2N,2049,1
REGION1,LNDAGRBC1C04,SEA3D,2049,1
REGION1,LNDAGRBC1C04,SEA3N,2049,1
REGION1,LNDAGRBC1C04,SEA4D,2049,1
REGION1,LNDAGRBC1C04,SEA4N,2049,1
REGION1,LNDAGRBC1C04,SEA1D,2050,1
REGION1,LNDAGRBC1C04,SEA1N,2050,1
REGION1,LNDAGRBC1C04,SEA2D,2050,1
REGION1,LNDAGRBC1C04,SEA2N,2050,1
REGION1,LNDAGRBC1C04,SEA3D,2050,1
REGION1,LNDAGRBC1C04,SEA3N,2050,1
REGION1,LNDAGRBC1C04,SEA4D,2050,1
REGION1,LNDAGRBC1C04,SEA4N,2050,1
REGION1,LNDAGRBC1C05,SEA1D,2020,1
REGION1,LNDAGRBC1C05,SEA1N,2020,1
REGION1,LNDAGRBC1C05,SEA2D,2020,1
REGION1,LNDAGRBC1C05,SEA2N,2020,1
REGION1,LNDAGRBC1C05,SEA3D,2020,1
REGION1,LNDAGRBC1C05,SEA3N,2020,1
REGION1,LNDAGRBC1C05,SEA4D,2020,1
REGION1,LNDAGRBC1C05,SEA4N,2020,1
REGION1,LNDAGRBC1C05,SEA1D,2021,1
REGION1,LNDAGRBC1C05,SEA1N,2021,1
REGION1,LNDAGRBC1C05,SEA2D,2021,1
REGION1,LNDAGRBC1C05,SEA2N,2021,1
REGION1,LNDAGRBC1C05,SEA3D,2021,1
REGION1,LNDAGRBC1C05,SEA3N,2021,1
REGION1,LNDAGRBC1C05,SEA4D,2021,1
REGION1,LNDAGRBC1C05,SEA4N,2021,1
REGION1,LNDAGRBC1C05,SEA1D,2022,1
REGION1,LNDAGRBC1C05,SEA1N,2022,1
REGION1,LNDAGRBC1C05,SEA2D,2022,1
REGION1,LNDAGRBC1C05,SEA2N,2022,1
REGION1,LNDAGRBC1C05,SEA3D,2022,1
REGION1,LNDAGRBC1C05,SEA3N,2022,1
REGION1,LNDAGRBC1C05,SEA4D,2022,1
REGION1,LNDAGRBC1C05,SEA4N,2022,1
REGION1,LNDAGRBC1C05,SEA1D,2023,1
REGION1,LNDAGRBC1C05,SEA1N,2023,1
REGION1,LNDAGRBC1C05,SEA2D,2023,1
REGION1,LNDAGRBC1C05,SEA2N,2023,1
REGION1,LNDAGRBC1C05,SEA3D,2023,1
REGION1,LNDAGRBC1C05,SEA3N,2023,1
REGION1,LNDAGRBC1C05,SEA4D,2023,1
REGION1,LNDAGRBC1C05,SEA4N,2023,1
REGION1,LNDAGRBC1C05,SEA1D,2024,1
REGION1,LNDAGRBC1C05,SEA1N,2024,1
REGION1,LNDAGRBC1C05,SEA2D,2024,1
REGION1,LNDAGRBC1C05,SEA2N,2024,1
REGION1,LNDAGRBC1C05,SEA3D,2024,1
REGION1,LNDAGRBC1C05,SEA3N,2024,1
REGION1,LNDAGRBC1C05,SEA4D,2024,1
REGION1,LNDAGRBC1C05,SEA4N,2024,1
REGION1,LNDAGRBC1C05,SEA1D,2025,1
REGION1,LNDAGRBC1C05,SEA1N,2025,1
REGION1,LNDAGRBC1C05,SEA2D,2025,1
REGION1,LNDAGRBC1C05,SEA2N,2025,1
REGION1,LNDAGRBC1C05,SEA3D,2025,1
REGION1,LNDAGRBC1C05,SEA3N,2025,1
REGION1,LNDAGRBC1C05,SEA4D,2025,1
REGION1,LNDAGRBC1C05,SEA4N,2025,1
REGION1,LNDAGRBC1C05,SEA1D,2026,1
REGION1,LNDAGRBC1C05,SEA1N,2026,1
REGION1,LNDAGRBC1C05,SEA2D,2026,1
REGION1,LNDAGRBC1C05,SEA2N,2026,1
REGION1,LNDAGRBC1C05,SEA3D,2026,1
REGION1,LNDAGRBC1C05,SEA3N,2026,1
REGION1,LNDAGRBC1C05,SEA4D,2026,1
REGION1,LNDAGRBC1C05,SEA4N,2026,1
REGION1,LNDAGRBC1C05,SEA1D,2027,1
REGION1,LNDAGRBC1C05,SEA1N,2027,1
REGION1,LNDAGRBC1C05,SEA2D,2027,1
REGION1,LNDAGRBC1C05,SEA2N,2027,1
REGION1,LNDAGRBC1C05,SEA3D,2027,1
REGION1,LNDAGRBC1C05,SEA3N,2027,1
REGION1,LNDAGRBC1C05,SEA4D,2027,1
REGION1,LNDAGRBC1C05,SEA4N,2027,1
REGION1,LNDAGRBC1C05,SEA1D,2028,1
REGION1,LNDAGRBC1C05,SEA1N,2028,1
REGION1,LNDAGRBC1C05,SEA2D,2028,1
REGION1,LNDAGRBC1C05,SEA2N,2028,1
REGION1,LNDAGRBC1C05,SEA3D,2028,1
REGION1,LNDAGRBC1C05,SEA3N,2028,1
REGION1,LNDAGRBC1C05,SEA4D,2028,1
REGION1,LNDAGRBC1C05,SEA4N,2028,1
REGION1,LNDAGRBC1C05,SEA1D,2029,1
REGION1,LNDAGRBC1C05,SEA1N,2029,1
REGION1,LNDAGRBC1C05,SEA2D,2029,1
REGION1,LNDAGRBC1C05,SEA2N,2029,1
REGION1,LNDAGRBC1C05,SEA3D,2029,1
REGION1,LNDAGRBC1C05,SEA3N,2029,1
REGION1,LNDAGRBC1C05,SEA4D,2029,1
REGION1,LNDAGRBC1C05,SEA4N,2029,1
REGION1,LNDAGRBC1C05,SEA1D,2030,1
REGION1,LNDAGRBC1C05,SEA1N,2030,1
REGION1,LNDAGRBC1C05,SEA2D,2030,1
REGION1,LNDAGRBC1C05,SEA2N,2030,1
REGION1,LNDAGRBC1C05,SEA3D,2030,1
REGION1,LNDAGRBC1C05,SEA3N,2030,1
REGION1,LNDAGRBC1C05,SEA4D,2030,1
REGION1,LNDAGRBC1C05,SEA4N,2030,1
REGION1,LNDAGRBC1C05,SEA1D,2031,1
REGION1,LNDAGRBC1C05,SEA1N,2031,1
REGION1,LNDAGRBC1C05,SEA2D,2031,1
REGION1,LNDAGRBC1C05,SEA2N,2031,1
REGION1,LNDAGRBC1C05,SEA3D,2031,1
REGION1,LNDAGRBC1C05,SEA3N,2031,1
REGION1,LNDAGRBC1C05,SEA4D,2031,1
REGION1,LNDAGRBC1C05,SEA4N,2031,1
REGION1,LNDAGRBC1C05,SEA1D,2032,1
REGION1,LNDAGRBC1C05,SEA1N,2032,1
REGION1,LNDAGRBC1C05,SEA2D,2032,1
REGION1,LNDAGRBC1C05,SEA2N,2032,1
REGION1,LNDAGRBC1C05,SEA3D,2032,1
REGION1,LNDAGRBC1C05,SEA3N,2032,1
REGION1,LNDAGRBC1C05,SEA4D,2032,1
REGION1,LNDAGRBC1C05,SEA4N,2032,1
REGION1,LNDAGRBC1C05,SEA1D,2033,1
REGION1,LNDAGRBC1C05,SEA1N,2033,1
REGION1,LNDAGRBC1C05,SEA2D,2033,1
REGION1,LNDAGRBC1C05,SEA2N,2033,1
